Title,Alternative Title,Description,Language,Creator,Publisher,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Download,Image,Manifest,Identifier,Slug,Access Rights,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Genre,Type,Format,Geometry Type,Suppressed,Child
,A plan of the city of New York from an actual survey,"Shows wards, streets, and public buildings.  Covers lower Manhattan.  In lower margin: Facsimile of a specimen lithographic copy of the Bradford map one-half the size of the original.  ""To his excellency John Montgomerie, Esq. Capt. Genl. & Gov. in Chief of his Majestis provinces of New York New Jersey this plan of the city of New York is humbly dedic'd by Your Excellancy's obet & most humble servt, Wm. Bradford.""  From seal at upper right: Col. Robt. Lurting, Mayor. 1728.  ""Printed for D.T. Valentine's history of New York 1853 by Geo. Hayward, 120 Water St.,New York.""  Removed from: Andrews, William Loring. James Lyne's survey, or, as it is more commonly known, The Bradford map. New York: Dodd, Mead & company, 1900.  Oriented with north toward the upper right.  Includes index to points of interest. Dimensions: 22 x 28 centimeters",English,"Lyne, James","Dodd, Mead & Company (New York)",,"Manhattan (New York, n.y.) Maps Early Works to 1800 Facsimiles|New York (n.y.) Maps Early Works to 1800 Facsimiles|Maps",1900,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:280,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/280/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/280,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/280/manifest.json,UMN_ALMA:9928900100001701,p16022coll205:280,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,A township map of the State of Iowa,"Showing the streams, roads, towns, post offices, county seats, works of internal improvements, &c., &c., &c.   Shows township and range, as well as railroads, common roads, dams, ferries and land offices.   ""Henn, Williams & Co.'s land, exchange & banking houses in Fairfield and Chariton, Iowa; Henn, Williams Hooton & Co. in Council Bluffs Iowa."" Dimensions: 50 x 86 centimeters",English,"Henn, Williams and Co.",Keen and Lee (Chicago),,Historical Geography|Iowa Historical Geography Maps|Iowa|Maps|Maps,1856,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:559,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/559/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/559,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/559/manifest.json,UMN_ALMA:9973519729301701,p16022coll230:559,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Bacon's new plan of Liverpool : divided into quarter mile squares and circles,"Insets: Key map showing wards -- Continuation north on same scale.   ""43 G 13."" Dimensions: 69 x 55 centimeters",English,G.W. Bacon & Co.,G.W. Bacon & Co. (London),,Liverpool (England) Maps|Maps,1900 - 1999?,,,United Kingdom,,https://umedia.lib.umn.edu/item/p16022coll205:331,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/331/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/331,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/331/manifest.json,UMN_ALMA:9928021780001701,p16022coll205:331,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Bancroft's official guide map of City and County of San Francisco : compiled from official maps in Surveyor's Office.,"Includes index to points of interest.   Shows drainage, wards, ranchos, flumes, etc.   Inset: Skeleton map showing relative position of San Francisco to the surrounding country (Scale [1:506,880]. 8 mi. to 1 in.).   In: LC G & M ward maps, no. 220.   Microfiche. [Washington : Library of Congress Photoduplication Service, 1984]. Dimensions: 60 x 74 centimeters",English,A.L. Bancroft & Company.,A.L. Bancroft & Co. (San Francisco),,San Francisco (Calif.) Maps|Maps,1877,,,"San Francisco, California",,https://umedia.lib.umn.edu/item/p16022coll205:267,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/267/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/267,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/267/manifest.json,UMN_ALMA:9912652570001701,p16022coll205:267,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Bathurst, 1877","View over the city of Bathurst in 1877, detailing particular houses and landscapes.   At bottom centre of map: Bathurst, 100 years a city, 1885-1985.   Facsimile. Inset views at corners of central map: All Saints Cathedral -- New Public Buildings -- Town Hall -- St. Stanislaus College. Dimensions: 46 x 63 centimeters",English,New South Wales. Central Mapping Authority.; Bathurst District Historical Society.,"Central Mapping Authority of New South Wales (Bathurst, N.S.W?)",,Public Buildings Australia Bathurst (n.s.w.) Maps|Bathurst (n.s.w.) Maps|Pictorial Maps,1985?,,,"Bathurst, New South Wales",,https://umedia.lib.umn.edu/item/p16022coll205:247,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/247/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/247,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/247/manifest.json,UMN_ALMA:9922276540001701,p16022coll205:247,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Bauerkeller's new embossed plan of London, 1841","Bauerkeller invented a type of relief printing for city maps called ""geomontographie."" The city blocks with buildings are raised in white, while streets, squares, parks & rivers are printed in colors.  Includes ""account of the population of London,"" and inset showing Isle of Dogs & Greenwich Park. Dimensions: 61 x 109 centimeters",English,Ackermann & Co.,Ackermann & Co. (London),,London (England) Maps|Maps,1841,,,United Kingdom,,https://umedia.lib.umn.edu/item/p16022coll205:299,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/299/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/299,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/299/manifest.json,UMN_ALMA:9951774350001701,p16022coll205:299,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Beadle County, So. Dakota","Cartographic Details: Scale not given.  Townships shown in color; includes grid lines, cities, schools, churches, creameries, and bodies of water.  Alt. title from copyright statement: ""Beadle Co., S. D."" Dimensions: 26 x 31 centimeters",English,Shedd & Wright Mfg. Co.,"Shedd & Wright (Austin, Minn.), 1907",,Creameries South Dakota Beadle County Maps|Schools South Dakota Beadle County Maps|Church Buildings South Dakota Beadle County Maps|Beadle County (s.d.) Administrative and Political Divisions Maps|Maps,1907,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:592,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/592/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/592,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/592/manifest.json,UMN_ALMA:9938594870001701,p16022coll230:592,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Belle Fourche Project, South Dakota, general map.","January 1910.""   ""Map no. 11690. Dimensions: 27 x 41 centimeters",English,United States Reclamation Service.,"Dept. of the Interior, United States Reclamation Project (Washington, D.C.)",,Irrigation South Dakota Butte County Maps|Irrigation South Dakota Meade County Maps|Maps,1910,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:485,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/485/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/485,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/485/manifest.json,UMN_ALMA:9916614850001701,p16022coll230:485,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Blanchard's map of Chicago and suburbs : showing wards, congressional and senatorial districts","Includes 2 insets.   Contents: Map of Chicago and suburbs -- Lake Shore north of Chicago -- Map of portions of Cook, DuPage, Kane, Kendall and Will Counties ... . Dimensions: 89 x 58 centimeters",English,George F. Cram Company.,"George F. Cram (Chicago, Ill.), 1909",,Election Districts Illinois Chicago Maps|Chicago (Ill.) Administrative and Political Divisions Maps|Chicago (Ill.) Maps|Maps,1909,,,"Chicago, Illinois",,https://umedia.lib.umn.edu/item/p16022coll205:295,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/295/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/295,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/295/manifest.json,UMN_ALMA:9940295060001701,p16022coll205:295,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Botanischer garten zu Berlin-Dahlem.,"Some features shown pictorially.   ""Lindemann & Ludecke, Berlin C.19.""   Includes alphanumeric key to plants, their places of geographic origin, buildings, and services. Dimensions: 29 x 34 centimeters",German,Lindemann & Ludecke (Firm),Publisher not identified. (Berlin?),,"Botanischer Garten (Berlin, Germany) Maps|Maps",1920 - 1940?,,,Germany,,https://umedia.lib.umn.edu/item/p16022coll205:330,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/330/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/330,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/330/manifest.json,UMN_ALMA:9920611130001701,p16022coll205:330,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Bourdeaux,,French,"de Fer, Nicolas, 1646-1720",Sr de Fer (Paris),,"Bordeaux (Aquitaine, France) Maps|Maps",1690 - 1709?,,,France,,https://umedia.lib.umn.edu/item/p16022coll205:317,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/317/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/317,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/317/manifest.json,UMN_ALMA:9939165680001701,p16022coll205:317,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Brisbane, central part : showing main business area and inner suburbs, public utilities, churches, theatres, etc.",Relief shown by hachures and spot heights. Dimensions: 46 x 36 centimeters,English,Queensland. Department of Mapping and Surveying.,The Department (Brisbane),,Brisbane (Qld.) Maps|Maps,1900 - 1999?,,,"Brisbane, Queensland",,https://umedia.lib.umn.edu/item/p16022coll205:259,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/259/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/259,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/259/manifest.json,UMN_ALMA:9948337890001701,p16022coll205:259,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"[Brown County, South Dakota]","Townships shown in color; includes grid lines, cities, schools, churches, and rural routes.   Supplied title following publisher's pattern; map border trimmed.   Alt. title from copyright statement: ""Brown Co., S. D."" Dimensions: 32 x 24 centimeters",English,Shedd & Wright Mfg. Co.,"Shedd & Wright (Austin, Minn.), 1907",,Rural Roads South Dakota Brown County Maps|Schools South Dakota Brown County Maps|Church Buildings South Dakota Brown County Maps|Brown County (s.d.) Administrative and Political Divisions Maps|Maps,1907,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:560,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/560/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/560,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/560/manifest.json,UMN_ALMA:9938596860001701,p16022coll230:560,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Calais : ville forte de Picardie,,French,"de Fer, Nicolas, 1646-1720",Sr de Fer (Paris),,Calais (France) Maps|Maps,1690 - 1709?,,,France,,https://umedia.lib.umn.edu/item/p16022coll205:252,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/252/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/252,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/252/manifest.json,UMN_ALMA:9915015310001701,p16022coll205:252,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Canada,Includes longitude West and East from Washington. Dimensions: 20 x 28 centimeters,English,"Finley, Anthony",A. Finley (Philadelphia),,Canada Maps,1830,,,Canada,,https://umedia.lib.umn.edu/item/p16022coll230:452,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/452/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/452,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/452/manifest.json,UMN_ALMA:9931949460001701,p16022coll230:452,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Carte de l'Isle de la Martinique, Colonie Françoise dans les Isles Antilles","Relief shown pictorially.   ""Liv. X.XIII"" and ""No. 41"" -- top margin. Dimensions: 31 x 23 centimeters",French,"Bonne, Robert, 1727-1794",A Geneve : chez Jean-Leonard Pellet,,Martinique Maps|Early Maps,1780,,,France,,https://umedia.lib.umn.edu/item/p16022coll230:475,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/475/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/475,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/475/manifest.json,UMN_ALMA:9973519728301701,p16022coll230:475,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Carte du Lac Ontario : et des habitations qui l'environnent ensemble le pays que M.M. Dolier et Galiné, missionaires du Seminaire St. Sulpice ont parcouru, 1670.","From: Gravier, Gabriel. Carte des grands lacs ... Rouen. 1895.   Printed facsimile of original Galinée map.   Shows Lakes Ontario, Erie, and Huron and the Ottawa River, the areas traversed by Galinée and Dollier de Casson in 1679-1670.   Notation at lower left: Vraie copie (fac-similé) de l'original dépose aux Archives des cartes et plans de la marine impériale. Fait à Paris en May 1854. Signé: P.L. Morin. Québec 1er Juin 1880. Dimensions: 36.2 x 68.4 centimeters",French,"de Galinée, René Bréhan",(Rouen),,Great Lakes (North America) Maps|Maps,1895,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:574,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/574/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/574,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/574/manifest.json,UMN_ALMA:9945908160001701,p16022coll230:574,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Carte du nouveau continent : selon sa plus grande longeur diamétrale depuis la Rivière de la Plata jusqu'au delà du Lac des Assiniboils.,"""1749.""  Relief shown pictorially. Dimensions: 21 x 18 centimeters",French,"de Vaugondy, Didier Robert, 1723-1786",,,America Maps Early Works to 1800|Maps,1749,,,North America; South America,,https://umedia.lib.umn.edu/item/p16022coll230:470,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/470/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/470,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/470/manifest.json,UMN_ALMA:9912641230001701,p16022coll230:470,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Carte générale des découvertes de l'Amiral de Fonte, et autres navigateurs espagnols, anglois et russes pour la recherche du passage á la mer du sud","Pictorial relief.  ""Suppl. 7e. carte"" upper right hand corner of map.  This is one of ten maps which appeared in a supplement of the Encyclopedie ou dictionnaire raissoné des sciences, des arts et des métiers. The supplement was published by Charles-Joseph Panckouke.  Inset map: Carte dressée sur la lettre de l'Amiral de Fonte par l'Ecrivain de la Californie. Dimensions: 30 x 39 centimeters",French,"de L'Isle, Joseph Nicolas, 1688-1768",(Paris),,Arctic Regions Discovery and Exploration Maps Early Works to 1800|Northwest Passage Maps Early Works to 1800|North Pacific Ocean Maps Early Works to 1800|Arctic Regions Maps Early Works to 1800|Maps,1752 - 1772,,,Arctic,,https://umedia.lib.umn.edu/item/p16022coll230:478,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/478/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/478,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/478/manifest.json,UMN_ALMA:9954588140001701,p16022coll230:478,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Carte générale des découvertes de l'amiral De Fonte représentant la grande probabilité d'un passage au nord ouest,"Relief shown pictorially.  ""Suppl. 8e. carte.""  ""167."" Dimensions: 29 x 36 centimeters",French,"de Vaugondy, Didier Robert, 1723-1786",(Paris),,Northern Hemisphere Discovery and Exploration Maps|Northwest Passage Maps Early Works to 1800|Maps,1772,,,Arctic,,https://umedia.lib.umn.edu/item/p16022coll230:567,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/567/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/567,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/567/manifest.json,UMN_ALMA:9954597750001701,p16022coll230:567,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Cary's new plan of London and its vicinity, 1834 : shewing the limits of the Two-penny Post Delivery.","Relief shown by hachures.   ""Published by authority of His Majesty's Post Master General."" Dimensions: 68 x 80 centimeters",English,G. & J. Cary,G. & J. Cary (London),,Postal Service England London Maps|London (England) Maps|Maps,1834,,,United Kingdom,,https://umedia.lib.umn.edu/item/p16022coll205:336,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/336/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/336,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/336/manifest.json,UMN_ALMA:9960108080001701,p16022coll205:336,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Chapman's sectional map of Wisconsin : with the most recent surveys,"Lithographed by: F. Mayer & Co., 96 Fulton St. N.Y.   Copyright 1855 by S. Chapman. Dimensions: 88.7 x 80.8 centimeters",English,"Chapman, Silas",Dyer & Pasmore (Milwaukee),,Wisconsin Maps|Maps,1857,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:591,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/591/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/591,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/591/manifest.json,UMN_ALMA:9944497950001701,p16022coll230:591,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Chart of harbor at Duluth, Minn. and Superior, Wis","""Issued September 29, 1903""--lower left.   Relief shown by hachures; depths show by contours, tints, and soundings.   North oriented to the mid-right.   Map continued by inset: St. Louis River from Mud Lake to Foot of Rapids.   ""Catalogue no. Sf8""--lower right. Dimensions: 83 x 101 centimeters",English,United States. Army. Corps of Engineers.,United States. Army. Corps of Engineers. (Washington),,"Nautical Charts Superior, Lake|Nautical Charts Saint Louis River (Minn. And Wis.)|Duluth (Minn.) Maps|Superior (Wis.) Maps|Maps",1903,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:435,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/435/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/435,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/435/manifest.json,UMN_ALMA:9917399510001701,p16022coll230:435,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,Chart of the world showing distances saved by the interoceanic canal of Nicaragua and Costa Rica,"Includes ""Table showing distances in miles between commercial ports of the world and distances saved by the Nicaragua Canal.""  Contents: Shows ""present routes"" in black and ""new routes via Nicaragua canal"" in red. Dimensions: 54 x 85 centimeters",English,American Bank Note Company,American Bank Note Co. (New York),,Shipping Maps|Nicaragua Canal (Nicaragua) Maps|Maps,1894,,,World,,https://umedia.lib.umn.edu/item/p16022coll230:573,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/573/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/573,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/573/manifest.json,UMN_ALMA:9964782880001701,p16022coll230:573,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"Chickasaw County, Iowa","Cartographic Details: Scale not given.   Townships shown in color; includes grid lines, cities, schools, churches, and rural routes.   Alt. title from copyright statement: ""Chickasaw Co., Iowa."" Dimensions: 30 x 31 centimeters",English,Shedd & Wright Mfg. Co.,"Shedd & Wright (Austin, Minn), 1907",,Schools Iowa Chickasaw County Maps|Church Buildings Iowa Chickasaw County Maps|Chickasaw County (Iowa) Administrative and Political Divisions Maps|Maps,1907,,,United States,,https://umedia.lib.umn.edu/item/p16022coll230:421,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll230/id/421/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/421,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/421/manifest.json,UMN_ALMA:9917155470001701,p16022coll230:421,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
,"City & county map of New-York, Brooklyn, Williamsburgh, Jersey City & adjacent waters","Relief shown by hachures, depth shown by soundings.  Includes 6 insets: Map of New York City from an actual survey by James Lyne, 1728 -- Philadelphia -- Boston -- Dr. Adrien Van der Dunk's view of Nieuw Amsterdam, 1656 -- North or Hudson River -- Vicinity of New York showing the principal roads, rail-roads & canals with distance of villas from the city.  Includes information from the survey of New York describing width of and distance between streets, and census statistics from 1614 to 1845.  Shows wards. Dimensions: 63 x 127 centimeters",English,J.H. Colton & Co.,J.H. Colton & Co. (New York),,New York (n.y.) Maps|New York (n.y.) Administrative and Political Divisions Maps|Maps,1857,,,"New York, New York",,https://umedia.lib.umn.edu/item/p16022coll205:338,http://cdm16022.contentdm.oclc.org/utils/getfile/collection/p16022coll205/id/338/filename/print/page/download/fparams/forcedownload,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/338,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/338/manifest.json,UMN_ALMA:9948974830001701,p16022coll205:338,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",University of Minnesota,05d-01,05d-01,Active,Blacklight,,Public,Maps,Image,JPEG,Image,FALSE,FALSE
